labels 0 -1 1
-1 0 0.735317089715332 0.259576403432453 0.00510650685221512 
-1 0 0.694095733677221 0.301384484930852 0.00451978139192639 
-1 0 0.734083106228934 0.26281488018343 0.00310201358763606 
-1 0 0.573944162008367 0.422234087042315 0.00382175094931793 
-1 0 0.51683755767282 0.47979692408862 0.00336551823855954 
-1 0 0.577573182747131 0.420167711798693 0.00225910545417638 
-1 0 0.63578228270685 0.362492561747769 0.00172515554538143 
-1 0 0.741379365407493 0.257438772412615 0.00118186217989156 
-1 0 0.82138923796989 0.177602211811613 0.00100855021849705 
-1 0 0.863524871934858 0.135216639495845 0.00125848856929775 
-1 0 0.897871628637615 0.10039616159594 0.00173220976644477 
-1 0 0.926840217551533 0.0706906909486293 0.00246909149983796 
-1 0 0.90454783234693 0.0906371367280504 0.00481503092501906 
-1 0 0.925975433198562 0.067446449181748 0.00657811761968976 
-1 0 0.891779862434811 0.0968096692365038 0.0114104683286844 
-1 0 0.881720708838762 0.104056279929335 0.0142230112319029 
-1 0 0.862126523463538 0.121413758180477 0.0164597183559848 
-1 0 0.812784432883793 0.168693468798966 0.0185220983172412 
-1 -1 0.266704978537263 0.731559324081359 0.00173569738137852 
0 -1 0.348922072882531 0.649397523101119 0.00168040401634975 
0 -1 0.413272986731676 0.585088608644539 0.00163840462378434 
0 -1 0.464126803145757 0.534048876388023 0.00182432046621957 
0 0 0.520673085507144 0.477510435293333 0.00181647919952286 
0 0 0.590868105762623 0.407698962254068 0.00143293198330977 
0 0 0.600064239328059 0.398600358232622 0.00133540243931857 
0 0 0.56978580371591 0.429049227328893 0.00116496895519663 
0 0 0.607163385251511 0.391704277425942 0.00113233732254684 
0 0 0.590457923160168 0.408460128529818 0.00108194831001379 
0 -1 0.480474381371399 0.518667128625801 0.000858490002799893 
0 0 0.526825588247085 0.472349495889423 0.000824915863492085 
0 -1 0.466914794094189 0.532386693388197 0.000698512517613892 
0 0 0.52792098689407 0.471512370898768 0.000566642207161838 
0 -1 0.467418507481674 0.532108064102834 0.000473428415491879 
0 -1 0.470257867041973 0.529280989163406 0.000461143794619993 
0 -1 0.210111737694715 0.789680800546594 0.00020746175869077 
0 -1 0.237425073466206 0.762413122208376 0.000161804325418069 
0 -1 0.189954237089459 0.809921560067847 0.000124202842694162 
0 -1 0.169310295675851 0.830595219856361 9.44844677880621E-05 
0 -1 0.155943698782736 0.843987191269885 6.91099473790515E-05 
0 -1 0.108716190631796 0.891205711039678 7.80983285261017E-05 
0 -1 0.0571582211252292 0.942800316063623 4.14628111478034E-05 
0 -1 0.0402025451221881 0.959761432440529 3.60224372830094E-05 
0 -1 0.0648671989722361 0.935081360149368 5.14408783961164E-05 
0 -1 0.0638472416702231 0.936112339672509 4.04186572679504E-05 
0 -1 0.0449837631615446 0.954989619162245 2.66176762106782E-05 
-1 -1 0.0111545234503147 0.98882447184799 2.10047016957748E-05 
-1 -1 0.00823011834496153 0.991759097771044 1.07838839944719E-05 
-1 -1 0.00671325474465856 0.993280503536 6.24171934120117E-06 
-1 -1 0.0068943965726922 0.993100961117396 4.6423099122394E-06 
-1 -1 0.00839106506186247 0.991604513986679 4.42095145892071E-06 
-1 -1 0.01189762463797 0.988096838638073 5.53672395741956E-06 
-1 -1 0.0157796616693363 0.984211934096251 8.40423441267307E-06 
