labels -1 0 1
-1 0 0.0711491545583638 0.841987380412835 0.0868634650288012 
-1 0 0.0871571751960835 0.89673234592669 0.0161104788772268 
-1 0 0.0525452685425384 0.926169313912253 0.0212854175452087 
-1 0 0.0295798332046759 0.943338865119543 0.0270813016757816 
-1 0 0.00286808278499476 0.976269982931645 0.0208619342833599 
-1 0 0.31441818034153 0.681448356814978 0.00413346284349254 
-1 -1 0.807722377535814 0.191762461299797 0.000515161164389659 
-1 -1 0.720249628544228 0.279207210755182 0.000543160700590142 
-1 -1 0.518460354561276 0.480433729279909 0.00110591615881428 
-1 0 0.00807623956604412 0.991388478465703 0.000535281968252823 
-1 0 0.0370451231640422 0.960407303327707 0.00254757350825075 
-1 0 0.114652413819037 0.882225847170415 0.00312173901054784 
-1 -1 0.715841679444206 0.28347293721613 0.000685383339663836 
-1 -1 0.709592456182167 0.28991467214755 0.000492871670282328 
-1 0 0.117847979925843 0.882131879974507 2.01400996507443E-05 
-1 0 0.268252270984491 0.731738644736481 9.08427902742229E-06 
-1 0 0.140053238971097 0.859361299594733 0.000585461434169836 
-1 0 0.486099571139643 0.512983947378464 0.000916481481892544 
-1 -1 0.89268479696294 0.107304030337829 1.117269923062E-05 
0 0 0.376464335635432 0.623120605786041 0.000415058578526678 
-1 0 0.279273419301047 0.718193997695224 0.00253258300372889 
0 -1 0.706832687219464 0.293111747960741 5.55648197955014E-05 
0 -1 0.80009184462512 0.199884868332522 2.3287042358343E-05 
0 -1 0.513621594178031 0.485753843190126 0.000624562631843061 
-1 0 0.0165519552254076 0.982971295891072 0.000476748883520457 
-1 0 0.0254817847906046 0.971418739302177 0.0030994759072189 
0 0 0.0662699064456355 0.922231250235284 0.0114988433190805 
-1 0 0.0435323002291249 0.897768624127725 0.0586990756431497 
-1 0 0.0624193580497355 0.916677017570521 0.0209036243797437 
0 0 0.18542863339102 0.813518648305255 0.00105271830372452 
0 0 0.345517275562232 0.654311182734531 0.000171541703238191 
0 -1 0.66517635242915 0.331862100714059 0.00296154685679053 
0 0 0.112633770539114 0.878184096722874 0.00918213273801176 
0 -1 0.892321255215736 0.107431206419322 0.000247538364942435 
0 0 0.48418164079728 0.494979901518843 0.0208384576838761 
0 0 0.0127648625621635 0.985611795439054 0.00162334199878238 
0 0 0.0118978485379901 0.941653993191135 0.046448158270875 
0 0 0.0563793666234833 0.665761465812611 0.277859167563905 
0 0 0.0309939010847 0.532743478784514 0.436262620130786 
0 0 0.0167591063452222 0.94065495252184 0.0425859411329377 
0 0 0.0197519827463363 0.974026424875397 0.00622159237826709 
0 0 0.0513702910499517 0.945440040728173 0.00318966822187584 
0 0 0.233970290434675 0.764393421070247 0.00163628849507828 
0 0 0.267917053677057 0.641212410301656 0.0908705360212868 
0 0 0.46604991196531 0.481144476926939 0.0528056111077512 
0 -1 0.764261611958444 0.233718920488874 0.00201946755268234 
0 -1 0.564834061013194 0.401351855032774 0.0338140839540318 
-1 0 0.206244474155665 0.599516949780847 0.194238576063487 
-1 0 0.0390622615082025 0.937227800356736 0.0237099381350612 
-1 0 0.0428112454094996 0.790535441185422 0.166653313405079 
0 0 0.0693384249083098 0.801261123922343 0.129400451169347 
0 0 0.155702548670853 0.798624336576103 0.0456731147530442 
0 0 0.126514196812228 0.856279792863368 0.0172060103244039 
0 0 0.197276279702803 0.787801905261296 0.0149218150359005 
0 0 0.324646507111979 0.670956191806029 0.00439730108199075 
-1 0 0.297599552292506 0.700434887717784 0.00196555998971024 
-1 0 0.243301106517775 0.644214546810747 0.112484346671478 
-1 0 0.152042381591077 0.824336938501419 0.0236206799075039 
-1 0 0.173357610764791 0.820866905738982 0.00577548349622702 
-1 0 0.0786089839884088 0.919901188214027 0.00148982779756414 
-1 0 0.31870879910502 0.663247132307902 0.0180440685870787 
-1 0 0.327820652101806 0.567007701893736 0.105171646004458 
0 -1 0.478145442394729 0.356980461301652 0.164874096303619 
0 -1 0.571461310310086 0.271068624929848 0.157470064760067 
0 -1 0.408284934954226 0.379942707696802 0.211772357348972 
1 0 0.219959675309185 0.432574999710805 0.347465324980009 
1 0 0.15235318040174 0.651818922188275 0.195827897409984 
1 1 0.117968361672456 0.253777544640808 0.628254093686736 
1 0 0.270804973356052 0.44693934988865 0.282255676755297 
1 0 0.0721306103933427 0.545557344299448 0.382312045307209 
1 1 0.0833587547242941 0.455889519822178 0.460751725453528 
1 1 0.00339379857801945 0.40142987326232 0.59517632815966 
1 1 0.000310709036056297 0.337472152883526 0.662217138080417 
1 0 0.00118093232939774 0.816034897164205 0.182784170506397 
1 0 0.00083804287449445 0.873304945851233 0.125857011274273 
1 0 0.000767894325226351 0.882971544464437 0.116260561210337 
1 0 0.000748872307914908 0.826438660506418 0.172812467185667 
1 0 0.000450437095156525 0.850124344354185 0.149425218550658 
1 0 7.09717535816835E-05 0.705048555652036 0.294880472594383 
1 0 0.000320575449712032 0.611357954994089 0.388321469556199 
1 1 7.91812631490101E-05 0.196395462873712 0.803525355863139 
1 0 0.0609213617389783 0.729488149200488 0.209590489060534 
1 0 0.000406360072665758 0.977662754721742 0.0219308852055921 
1 0 0.008882944305092 0.837816968241114 0.153300087453794 
1 0 0.000356978448158545 0.505906441095445 0.493736580456397 
1 1 0.000134006166049275 0.282381355153509 0.717484638680442 
1 1 0.000936908898513377 0.229009487271553 0.770053603829934 
1 1 8.29032451238356E-05 0.128225031898211 0.871692064856665 
1 1 9.10169615774138E-06 0.0867139391775062 0.913276959126336 
1 1 9.27809600110522E-07 0.0478422787102266 0.952156793480173 
1 1 0.000113017239895676 0.0156245721595143 0.98426241060059 
1 1 0.000780493820410256 0.0441354173975351 0.955084088782055 
1 1 3.54731096872638E-05 0.17024797266934 0.829716554220973 
1 1 2.95223748501757E-05 0.157100174531814 0.842870303093336 
1 1 8.80723787773484E-06 0.0993929146279273 0.900598278134195 
1 1 7.70991017704708E-06 0.0942169027896544 0.905775387300168 
1 1 6.73252276691538E-05 0.232598470425671 0.76733420434666 
1 1 9.86068401586451E-05 0.294014457492274 0.705886935667567 
1 1 1.985473242349E-05 0.0966903775251121 0.903289767742464 
